userName,score,at,content
Dwinuryanto Dwinuryanto,5,2026-05-01 17:09:15,permainan nya seru cuman satu kekurangan GK bisa Chet nya plis tolong di bisakan untuk mengetik di komentar nya gitu biar jelas kalok ada apa apa bilang nama nya tolong untuk di buat lagi komentar nya ✌️✌️
Raykhan Ramadan,1,2026-05-01 17:01:55,"so many signal problem ,our signal good to open video 1000p but when we open roblox always has problem with signal? please if you read this and fix our problem i give you 5 star and a good comments!"
salma Taufik,5,2026-05-01 16:55:40,Sangat bagusss saya suka dan tidak ada iklannya gamenya banyak
azzaa,1,2026-05-01 16:51:28,"gatau kenapa kalo mau masuk ke game nya selalu ada tulisan koneksi internet koneksi internet, sama error error Mulu padahall sinyal bagus, paketan masih banyak. tapi tetep aja ga bisa masuk anjg emosi gue"
Alisa Alisa,5,2026-05-01 16:50:53,gem nya jelek tapi aku rispek
Ken Zo,1,2026-05-01 16:48:47,kenapa harus ada verifikasi umur sih aku ga bisa chatan sama teman jauh lagi lebih seru Roblox yang lama
Ajeng Putri wulan,5,2026-05-01 16:39:57,seru sekali
rini hastuti,5,2026-05-01 16:37:13,game ini SERU banget kita bisa temenan sama orang² yang main roblox semoga di pertahankan deh!
Terlalu Banyak,5,2026-05-01 16:32:07,taulah gimana serunya tapi aku berharap chatnya bisa kembali 🥲 yg main blox fruit dan udah sea 3 tolong bantu aku hunting Levi Neo4680454😁😁
Abiyyu AR,1,2026-05-01 16:30:53,CHAT BACK
Lia julianti,1,2026-05-01 16:27:12,chat nya kok gak bisa banyak juga pas pada bilang kasar tolong dong diskoneknya sama chat nya jangan gak di bisain aku juga kepengen ngecat juga lagi aku mau masuk ke game kagak bisa uanehrek banyak leg
Ryu and Ran,5,2026-05-01 16:21:22,wah game ini banyak map nya dan bisa dimainin juga!
keysar Gusti,5,2026-05-01 16:16:27,best game ever
Seha Syahab,5,2026-05-01 16:14:43,cinta banget sama game inii
WELKER DOHIP,1,2026-05-01 16:11:47,tolang jangn batasin usia aku ingin bicara sama temen temen pizzzzz 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
AL FATH RIZKY SUDJANA,1,2026-05-01 16:07:54,"IP GUA DI BANNED, PERKARA SEPELE."
Uchi Rumagia,5,2026-05-01 16:02:57,"lumayan lah bagus..untuk menghibur, gak mau bilang makasih, tapi thank you"
AZKA RADITYA PRATAMA,4,2026-05-01 16:02:29,seru bnyak pilihan game yg menarik tapi yg gk seru nya banyak cheter yg berkeliaran bebas di map kalo bisa upgrade keamanan nya lagi ya
Chepi Umbaraa,5,2026-05-01 15:57:18,bagus
Zikry Kubar,2,2026-05-01 15:53:18,"kurang suka sama Roblox yang sekarang.apa' harus update terus,jdinya menuhin memo.terus juga sering ngebug klo top up.apa' harus verifikasi umur,terus gabisa lihat org' yang beda umur sm kita chtan,tkt bgt digosipin sm mreka..."
Ana Andinih,5,2026-05-01 15:52:43,gem nya sangat seru tapi yg GK seru nya gk bisa chat lagi knp emgnya? tapi masih enak main tower nya masih seru banget pokok nya
Nevf Nevfa,3,2026-05-01 15:52:20,"seru sih seru,tapi sering error dan jujur ngeselin banget,jaringan aku bagus di pake ke aplikasi lain, tapi pas main roblox sering banget disconnect, belum ada 5-10 menit masuk map udah disconnect, sampe beberapa kali hapus instal, hapus change, hapus penyimpanan, ganti akun, dll, sama aja tetep sering disconnect"
Diska Fakhira,3,2026-05-01 15:51:46,"UPDATE TRUS MBUTTTT, DIKIT² UPDATE, MALES BGT"
Rizki Pratama,1,2026-05-01 15:50:58,stak loading bangke kaga bisa ngapa ngapain jaringan udah bagus kecewa berat
Nabil Zakiyul fuadi,1,2026-05-01 15:50:01,apala game kok eror ga main Mala kgk bisadi mainin padahal jaringan lancar
Wak Lan,1,2026-05-01 15:49:35,tergatang gak bisa login aneh
KEROZVex,2,2026-05-01 15:48:26,"asik tapi banyak pake kuota, Ferivikasi umur nya gk asik jemboat🗿"
Syifa Aulia,5,2026-05-01 15:47:44,Good
Virgil Haryanto,5,2026-05-01 15:46:22,Pls owner make a chat on following IM wanna chat some ppl pls
Fayqah Ghina Omira,1,2026-05-01 15:43:58,ga bisa login
Qepan Ramadhan,1,2026-05-01 15:43:54,"game jelek, server down terus, males lama lama main nih game"
rahman putranto,5,2026-05-01 15:40:21,saya sukadenagan game ini
furqan,5,2026-05-01 15:36:53,😁
Irma Nisrina,3,2026-05-01 15:35:46,aku setiap update gabisa update roblox aku
Prasetya Setya,5,2026-05-01 15:34:17,bagus
Tata Embunala,5,2026-05-01 15:32:45,Bagus sekali
Ar rayyan Dilan,5,2026-05-01 15:31:05,seru bgt gamenya cuma mama gw gk ngasih aku main roblox soalnya ada game yg B---h B---h
Saputta Rendi,5,2026-05-01 15:29:15,BAGUS GOKIL
Ibnuuwais16,5,2026-05-01 15:28:36,seru tapi kaga bisa ngobrol tau ngetik he tapi kelupaan karena keseruan gem ya co cihuiii
Ari Istiqomah,1,2026-05-01 15:28:34,dulu seru banget tapi sekarang malah ada iklannya
Muhammad Rayhan,1,2026-05-01 15:22:05,jelek
Uchiha Sasuke,5,2026-05-01 15:19:51,bagus
Muhamad Fadil,5,2026-05-01 15:15:20,tolong optimalisasi nya
yanuuᝰ.ᐟ,5,2026-05-01 15:14:46,"game ini adalah game yang mengubah hidup saya, karena berkat nya saya dapat banyak koneksi lewat roblox... terimakasih roblox telah menjadi game fav saya. tetapi pada upd akhir akhir ini saat jelek di karenakan kita hrus verif untuk chat ataupun voice chat.. walaupun begitu saya tetap berterimakasih pada pihak pembuat dan pengembang roblox ❤️"
Nadira Andaru,3,2026-05-01 15:12:17,"kenapa aku kasih bintang 3? karna roblox itu ada plus minus nya 1 plus nya roblox seru banyak game yang bikin ga bosen dan temen temen online 2 minus nya itu bikin kesel BANGET kenapa? , karna saat saya mau login roblox ,saya mendapatkan notifikasi bahwa koneksi nya tak terhubung kejaringan padahal wifi saya bagus saat itu dan saya mencoba unstital dan mencoba login lagi saya mendapat rendee Roblox yang cukup lama saat ingin mencoba login gada tombol paskey padahal akun saya menggunakan paskey"
iyan septiyan,5,2026-05-01 15:11:09,keren cuy harus dah mainin
Devan Alfaro,3,2026-05-01 15:09:38,semua gamenya yang aku suka daripada iklan tapi aku di-hack
Ramlia Pahlawan,1,2026-05-01 15:07:49,masuk aplikasi langsung login tidak diberikan waktu untuk mengisi pasword
